,_id,name,description,total_money_raised,sec_description,address1,address2,zip_code,city,state_code,country_code,latitude,longitude,geopoint
4,52cdef7d4bab8bd675298c8b,appssavvy,activity advertising technology company,10200000.0,Headquarters,594 Broadway,Suite 207,10012,New York,NY,USA,40.724604,-73.996876,"{'type': 'Point', 'coordinates': [-73.996876, 40.724604]}"
52,52cdef7f4bab8bd67529c3bc,StyleCaster,Media and Ad-Tech for fashion & beauty,5000000.0,,49 W 27th St Uppr A,,10001-6936,New York City,NY,USA,40.7450497,-73.9900984,"{'type': 'Point', 'coordinates': [-73.9900984, 40.7450497]}"
